testing_performance,testing_complexity,training_performance,training_complexity,task_id,selection,split,task_type,seed
0.5202703,154,0.5624476,154,359959,lexicase,90%,classification,271
0.82564104,326551,0.7150127,42551,168784,lexicase,90%,classification,406
0.82564104,539151,0.70165396,80611,168784,lexicase,90%,classification,420
0.74666667,1030,0.80363035,1030,359955,lexicase,90%,classification,91
0.6216216,2265,0.6208054,2265,359954,lexicase,90%,classification,73
0.9109589,20,0.91447926,20,359958,lexicase,90%,classification,257
0.8584906,39131,0.86549705,4121,359956,lexicase,90%,classification,181
0.8584906,65441,0.86783624,6881,359956,lexicase,90%,classification,183
0.884058,10551,0.88372093,1291,146818,lexicase,90%,classification,51
0.6351351,71662,0.63590604,8392,359954,lexicase,90%,classification,71
0.89726025,2672,0.911939,2672,359958,lexicase,90%,classification,261
0.6979866,901,0.5590682,811,2073,lexicase,90%,classification,319
0.91780823,21,0.90855205,21,359958,lexicase,90%,classification,254
0.5540541,59901,0.5364627,3096,359959,lexicase,90%,classification,295
0.8483412,1137,0.8613224,1137,359962,lexicase,90%,classification,451
0.89041096,31861,0.91278577,7561,359958,lexicase,90%,classification,245
0.83589745,427391,0.7302799,55841,168784,lexicase,90%,classification,401
0.8396226,535,0.84444445,535,359956,lexicase,90%,classification,209
0.6510067,66,0.56905156,47,2073,lexicase,90%,classification,311
0.8483412,3261,0.8624927,2001,359962,lexicase,90%,classification,476
0.5878378,42832,0.54652137,3822,359959,lexicase,90%,classification,297
1.0,1344,0.9257143,1340,359960,lexicase,90%,classification,364
0.74666667,5,0.81023103,6,359955,lexicase,90%,classification,114
0.884058,133,0.88550985,94,146818,lexicase,90%,classification,42
0.87058824,2081,0.75766426,2081,190146,lexicase,90%,classification,123
0.89855075,73421,0.88550985,8371,146818,lexicase,90%,classification,36
0.66,226,0.7407407,56,168757,lexicase,90%,classification,163
0.6351351,71,0.6291946,71,359954,lexicase,90%,classification,89
0.6132075,378,0.8538012,68,359956,lexicase,90%,classification,199
0.6107383,101,0.5890183,73,2073,lexicase,90%,classification,321
0.8153846,608741,0.7169211,76201,168784,lexicase,90%,classification,411
0.9109589,19,0.91278577,19,359958,lexicase,90%,classification,252
0.5878378,510,0.55658007,510,359959,lexicase,90%,classification,276
0.89855075,5221,0.881932,741,146818,lexicase,90%,classification,52
0.8679245,368,0.851462,368,359956,lexicase,90%,classification,203
0.67114097,171,0.5740433,154,2073,lexicase,90%,classification,329
0.8117647,165,0.7810219,165,190146,lexicase,90%,classification,147
0.6486486,796,0.6409396,796,359954,lexicase,90%,classification,84
0.8352941,77,0.77226275,77,190146,lexicase,90%,classification,132
0.8695652,5931,0.8801431,911,146818,lexicase,90%,classification,49
0.67,7,0.75185186,7,168757,lexicase,90%,classification,175
0.8235294,107,0.77226275,107,190146,lexicase,90%,classification,122
0.6912752,280212,0.57737106,28572,2073,lexicase,90%,classification,328
0.91907513,214,0.94,43,359960,lexicase,90%,classification,361
0.8835617,659,0.91024554,658,359958,lexicase,90%,classification,260
0.64,289,0.8069307,289,359955,lexicase,90%,classification,102
0.8405797,7,0.8801431,7,146818,lexicase,90%,classification,55
0.73,99,0.75061727,99,168757,lexicase,90%,classification,160
0.67,7,0.75555557,7,168757,lexicase,90%,classification,164
0.82564104,476631,0.7003817,54351,168784,lexicase,90%,classification,412
0.5945946,63,0.5624476,88,359959,lexicase,90%,classification,296
0.8,534121,0.71119595,74491,168784,lexicase,90%,classification,402
0.67785233,72,0.5607321,65,2073,lexicase,90%,classification,322
0.6351351,86,0.64261746,86,359954,lexicase,90%,classification,75
0.8767123,708,0.91786623,708,359958,lexicase,90%,classification,266
0.8117647,1297,0.7912409,1157,190146,lexicase,90%,classification,143
0.9479769,1683,0.945,1683,359960,lexicase,90%,classification,382
0.9768786,1055,0.95,1055,359960,lexicase,90%,classification,376
0.8584906,239331,0.86315787,36831,359956,lexicase,90%,classification,202
0.9246575,145241,0.91024554,19721,359958,lexicase,90%,classification,263
0.82051283,412621,0.7029262,61041,168784,lexicase,90%,classification,403
0.8578199,8,0.8613224,8,359962,lexicase,90%,classification,457
0.83886254,22751,0.8601521,4091,359962,lexicase,90%,classification,454
0.5067568,162791,0.54233027,16521,359959,lexicase,90%,classification,273
0.77,143706,0.76296294,13876,168757,lexicase,90%,classification,172
0.77,17,0.75555557,17,168757,lexicase,90%,classification,171
0.89855075,5,0.8801431,5,146818,lexicase,90%,classification,56
0.8396226,85881,0.85730994,9711,359956,lexicase,90%,classification,191
0.6375839,101,0.55740434,91,2073,lexicase,90%,classification,303
0.8679245,172,0.8619883,171,359956,lexicase,90%,classification,204
0.6510067,71,0.5732113,64,2073,lexicase,90%,classification,305
0.8117647,2,0.7620438,2,190146,lexicase,90%,classification,144
0.66,63,0.72962964,65,168757,lexicase,90%,classification,179
0.6351351,16593,0.6057047,9171,359954,lexicase,90%,classification,64
0.4864865,8611,0.5590947,8011,359959,lexicase,90%,classification,287
0.82564104,522161,0.7092875,71881,168784,lexicase,90%,classification,408
0.884058,43,0.8908766,43,146818,lexicase,90%,classification,43
0.6621622,1019,0.60738254,994,359954,lexicase,90%,classification,80
0.76,11387,0.74938273,1223,168757,lexicase,90%,classification,176
0.5810811,85208,0.54987425,7736,359959,lexicase,90%,classification,281
0.9653179,2581,0.9407143,2581,359960,lexicase,90%,classification,372
0.75,13,0.7604938,11,168757,lexicase,90%,classification,174
0.8679245,67,0.8538012,106,359956,lexicase,90%,classification,197
0.85507244,90741,0.8890877,9631,146818,lexicase,90%,classification,47
0.884058,137481,0.8765653,14471,146818,lexicase,90%,classification,59
0.8153846,227501,0.730916,28851,168784,lexicase,90%,classification,414
0.5033557,155481,0.57154745,15751,2073,lexicase,90%,classification,330
0.8483412,18,0.86190754,18,359962,lexicase,90%,classification,472
0.7882353,1157,0.77372265,1157,190146,lexicase,90%,classification,139
0.6912752,143241,0.578203,14611,2073,lexicase,90%,classification,313
0.87058824,922,0.7751825,922,190146,lexicase,90%,classification,124
0.5810811,1959,0.6375839,1959,359954,lexicase,90%,classification,77
0.6756757,930,0.62583894,893,359954,lexicase,90%,classification,81
0.85882354,1506,0.75766426,1506,190146,lexicase,90%,classification,129
0.62416106,851,0.56905156,766,2073,lexicase,90%,classification,326
0.74666667,7,0.7986799,7,359955,lexicase,90%,classification,106
0.9246575,23,0.91024554,27,359958,lexicase,90%,classification,264
0.8835617,106281,0.911939,15191,359958,lexicase,90%,classification,267
0.68456376,201,0.5648919,181,2073,lexicase,90%,classification,318
0.8,626,0.75555557,626,168757,lexicase,90%,classification,180
0.8720379,1288,0.8601521,1287,359962,lexicase,90%,classification,462
0.76,5,0.8069307,5,359955,lexicase,90%,classification,97
0.7294118,48,0.7459854,67,190146,lexicase,90%,classification,125
0.67114097,92,0.5823627,83,2073,lexicase,90%,classification,307
0.66442955,91,0.56821966,82,2073,lexicase,90%,classification,317
0.8301887,355,0.86315787,355,359956,lexicase,90%,classification,208
0.9537572,1709,0.9507143,1709,359960,lexicase,90%,classification,375
0.8490566,418,0.8596491,418,359956,lexicase,90%,classification,205
0.7897436,392621,0.71119595,50441,168784,lexicase,90%,classification,395
0.5810811,45651,0.54233027,4011,359959,lexicase,90%,classification,289
0.7027027,46586,0.63422817,5876,359954,lexicase,90%,classification,62
0.74666667,1970,0.8052805,1970,359955,lexicase,90%,classification,95
0.92753625,27671,0.8765653,3541,146818,lexicase,90%,classification,58
0.6912752,132172,0.59484196,12812,2073,lexicase,90%,classification,301
0.7027027,96001,0.647651,10191,359954,lexicase,90%,classification,65
0.74,19,0.74444443,19,168757,lexicase,90%,classification,170
0.6486486,196521,0.602349,23121,359954,lexicase,90%,classification,70
0.982659,418,0.935,418,359960,lexicase,90%,classification,366
